Rank,Question,QuestionInfo,AnswerType,FieldName,FieldCode,Category
0,WELCOME TO ODYSSEY REMOTE CERTIFICATION SOLUTION!,"You will be asked a series of questions in this next section pertaining to your assets. Based on your selections, you may then be asked to supply additional information depending on your program guidelines. You will not be able to move forward until the required information is received. You can stop and start back at anytime. All progress will be saved. If you have any questions, please send us a message from your dashboard at anytime. To advance, please select ""Let's talk assets"" below:",radio,WELCOME MESSAGE ASSET,WEL_ASSET,ODYSSEY
1,I HAVE A CHECKING ACCOUNT:,"IF YOU HAVE MULTIPLE, PLEASE ONLY ENTER THE FIRST ONE AND YOU WILL BE PROMPTED LATER TO SUPPLY ADDITIONAL ITEMS.",radio,CHECKING ACCOUNT,CK_ACCOUNT,ASSET
2,ENTER YOUR BANK NAME FOR THE CHECKING ACCOUNT:,ENTER THE FULL NAME OF YOUR BANKING INSTITUTION.,text_short,CHECKING NAME,CK_NAME,ASSET
3,ENTER YOUR CURRENT INTEREST RATE FOR CHECKING ACCOUNT:,"IF YOU DO NOT RECEIVE INTEREST ON YOUR ASSET, PUT ""0""",text_short,CHECKING INTEREST,CK_INTEREST,ASSET
4,ENTER YOUR CURRENT BALANCE FOR THE CHECKING ACCOUNT:,THIS INFORMATION WILL BE USED FOR YOUR HOUSEHOLD'S ELIGIBILITY.,currency,CHECKING BALANCE,CK_BALANCE,ASSET
5,PLEASE UPLOAD THE LAST 6 MONTHS OF CHECKING ACCOUNT STATEMENTS:,THIS INFORMATION WILL BE USED FOR YOUR HOUSEHOLD'S ELIGIBILITY.,file,CHECKING UPLOAD,CK_UPLOAD,ASSET
6,DO YOU HAVE ANOTHER CHECKING ACCOUNT TO REPORT?,THIS INFORMATION WILL BE USED FOR YOUR HOUSEHOLD'S ELIGIBILITY.,radio,CHECKING ADD,CK_ADD,ASSET
,,,,,,
1,I HAVE A SAVINGS ACCOUNT:,"IF YOU HAVE MULTIPLE, PLEASE ONLY ENTER THE FIRST ONE AND YOU WILL BE PROMPTED LATER TO SUPPLY ADDITIONAL ITEMS.",radio,SAVINGS ACCOUNT,SV_ACCOUNT,ASSET
2,ENTER YOUR BANK NAME FOR THE SAVINGS ACCOUNT:,ENTER THE FULL NAME OF YOUR BANKING INSTITUTION.,text_short,SAVINGS NAME,SV_NAME,ASSET
