Rank,Question,QuestionInfo,AnswerType,FieldName,FieldCode,Category,Sub-Category,Document
0,WELCOME TO ODYSSEY REMOTE CERTIFICATION SOLUTION!,"You will be asked a series of questions in this next section pertaining to your income. Based on your selections, you may then be asked to supply additional information depending on your program guidelines. You will not be able to move forward until the required information is received. You can stop and start back at anytime. All progress will be saved. If you have any questions, please send us a message from your dashboard at anytime. To advance, please select ""Let's take the journey"" below:",radio,WELCOME MESSAGE,WEL_MESS,ODYSSEY,,
1,I AM SELF-EMPLOYED:,ARE YOU SELF-EMPLOYED?,radio,SELF EMPLOYED BASIC,SELF_EMPLOYED,INCOME,,
2,ENTER THE NATURE OF YOUR SELF-EMPLOYMENT:,PLEASE DESCRIBE YOUR BUSINESS.,text_short,SELF EMPLOYED NATURE,SELF_EMPNATURE,INCOME,,
3,ENTER YOU MONTHY NET INCOME:,"TAKE YOUR GROSS INCOME AND SUBTRACT ALL EXPENSES TO ENTER THE REMAINDER, WHICH IS YOUR NET.",currency,SELF EMPLOYED INCOME,SELF_EMPINCOME,INCOME,,
4,PLEASE UPLOAD YOUR LAST 2 SIGNED FEDERAL TAX RETURNS:,THIS INFORMATION WILL BE USED FOR YOUR HOUSEHOLD'S ELIGIBILITY.,file,SEMPLOYED TAX,SEM_TAX,INCOME,,
5,DO YOU HAVE ANOTHER BUSINESS TO REPORT?,THIS INFORMATION WILL BE USED FOR YOUR HOUSEHOLD'S ELIGIBILITY.,radio,SELF EMPLOYED ADD,SELF_EMPADD,INCOME,,
,,,,,,,,
1,"I HAVE A JOB/HAVE BEEN OFFERED EMPLOYMENT AND RECEIVE/WILL RECEIVE WAGES, SALARY, OVERTIME PAY, COMMISSIONS, FEES, TIPS, BONUSES, AND/OR OTHER COMPENSATION:",ARE YOU CURRENTLY WORKING WHERE YOU RECEIVE WAGES?,radio,EMPLOYED,EM_PLOYED,INCOME,,
2,ENTER THE NAME OF YOUR EMPLOYER:,PLEASE ENTER THE FULL NAME OF YOUR EMPLOYER.,text_short,EMPLOYER NAME,EM_NAME,INCOME,,
3,ENTER YOUR MONTHLY GROSS INCOME:,WHAT DO YOU MAKE PER MONTH?,currency,EMPLOYED INCOME,EM_INCOME,INCOME,,
4,PLEASE UPLOAD YOUR LAST 7 CONSECUTIVE PAYSTUBS,THIS INFORMATION WILL BE USED FOR YOUR HOUSEHOLD'S ELIGIBILITY.,file,EMPLOYED UPLOAD,EM_UPLOAD,INCOME,,
5,PLEASE UPLOAD YOUR LAST 2 SIGNED FEDERAL TAX RETURNS:,THE PAYSTUBS REQUESTED NEED TO BE CONSECUTIVE FROM THE MOST CURRENT.,file,EMPLOYED TAX,EM_TAX,INCOME,,
6,DO YOU HAVE ANOTHER EMPLOYER TO REPORT?,THIS INFORMATION WILL BE USED FOR YOUR HOUSEHOLD'S ELIGIBILITY.,radio,EMPLOYED ADD,EM_ADD,INCOME,,
,,,,,,,,
1,"I RECEIVE CASH CONTRIBUTIONS OF GIFTS INCLUDING RENT OR UTILITY PAYMENTS, ON AN ONGOING BASIS FROM PERSONS NOT LIVING WITH ME:",ARE YOU RECEIVING CONTRIBUTIONS MONTHLY?,radio,CASH CONTRIBUTIONS,CASH_CONTR,INCOME,,
2,ENTER THE NAME OF THE PERSON/ORGANIZATION THAT SUPPLIES THE INCOME:,ENTER THE FULL NAME.,text_short,CCONTRIBUTION NAME,CASH_NAME,INCOME,,
